,Name,Explanation,backbone,batch_size,dataset,epochs,frozen_feature_extractor,lr,start_time,test_accuracy,test_average_precision,reduced,test_balanced_accuracy,record,softmax,execution_time,augment_prob,cosine,pretrained,accuracy,best_iteration,feature_extractor,model,n_iterations,n_shot,n_way,optimizer,task,augment,base_classes,eval_period,train_n_way,checkpoint_dir,comment,full_name,output_dir,screen_name,session_dir,test_ts_steps,train_ts_steps,all_global_prototypes,image_size,balanced_batches,val_batch_size,dataset_classes
192,ResNet18_GTSRB_895110-54-41-19-10-11-2019,,ResNet18,32.0,GTSRB,90.0,1.0,0.001,Sun Nov 10 19:41:54 2019,0.2358601841196778,,10.0,0.2352408508220723,1.0,0.0,1847.5786645412445,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,GoogLeNet_GTSRB_750959-54-12-20-10-11-2019,,GoogLeNet,32.0,GTSRB,90.0,1.0,0.001,Sun Nov 10 20:12:54 2019,0.20313578826237053,,10.0,0.2073094331429441,1.0,0.0,1990.5613887310028,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,ResNet18_GTSRB_266639-20-46-20-10-11-2019,,ResNet18,32.0,GTSRB,90.0,0.0,0.001,Sun Nov 10 20:46:20 2019,0.5489643268124281,,10.0,0.5506708879878102,1.0,0.0,2105.3375763893127,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,GoogLeNet_GTSRB_665558-38-21-21-10-11-2019,,GoogLeNet,32.0,GTSRB,90.0,0.0,0.001,Sun Nov 10 21:21:38 2019,0.3583573072497123,,10.0,0.3599015325533208,1.0,0.0,2267.026589155197,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,ResNet18_GTSRB_696902-14-19-22-10-11-2019,,ResNet18,32.0,GTSRB,105.0,1.0,0.001,Sun Nov 10 22:19:14 2019,0.15097813578826236,,5.0,0.1576305470716965,1.0,0.0,2012.0912804603574,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,GoogLeNet_GTSRB_958025-02-53-22-10-11-2019,,GoogLeNet,32.0,GTSRB,105.0,1.0,0.001,Sun Nov 10 22:53:03 2019,0.14301639815880324,,5.0,0.14782730483385853,1.0,0.0,2134.3573698997493,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,ResNet18_GTSRB_598988-51-28-23-10-11-2019,,ResNet18,32.0,GTSRB,105.0,0.0,0.001,Sun Nov 10 23:28:51 2019,0.32330264672036824,,5.0,0.3262997586120959,1.0,0.0,2041.0565779209135,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,GoogLeNet_GTSRB_181240-05-03-00-11-11-2019,,GoogLeNet,32.0,GTSRB,105.0,0.0,0.001,Mon Nov 11 00:03:05 2019,0.2360543728423475,,5.0,0.2283204053931369,1.0,0.0,2249.3106100559235,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,ResNet18_GTSRB_050629-50-40-00-11-11-2019,,ResNet18,32.0,GTSRB,120.0,1.0,0.001,Mon Nov 11 00:40:50 2019,0.04825949367088608,,1.0,0.04910774408202995,1.0,0.0,2045.102904558181,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,GoogLeNet_GTSRB_792193-09-15-01-11-11-2019,,GoogLeNet,32.0,GTSRB,120.0,1.0,0.001,Mon Nov 11 01:15:09 2019,0.053315592635212884,,1.0,0.05478736963464412,1.0,0.0,2202.532859802246,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,ResNet18_GTSRB_934345-04-52-01-11-11-2019,,ResNet18,32.0,GTSRB,120.0,0.0,0.001,Mon Nov 11 01:52:05 2019,0.12380609896432684,,1.0,0.1214636958928459,1.0,0.0,2071.5870051383968,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,GoogLeNet_GTSRB_746839-47-26-02-11-11-2019,,GoogLeNet,32.0,GTSRB,120.0,0.0,0.001,Mon Nov 11 02:26:47 2019,0.10208573072497122,,1.0,0.09458612469537653,1.0,0.0,2216.89706492424,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,ResNet18_100%_CIFAR10_961546-12-05-02-17-11-2019,,ResNet18,32.0,CIFAR10,10.0,1.0,0.001,Sun Nov 17 02:05:12 2019,0.7898362619808307,,0.0,0.7864688931800599,1.0,0.0,1892.9732682704928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,ResNet18_100%_CIFAR10_189383-26-38-02-17-11-2019,,ResNet18,32.0,CIFAR10,10.0,0.0,0.001,Sun Nov 17 02:38:26 2019,0.9395966453674122,,0.0,0.9400180628102623,1.0,0.0,4321.069400072098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,ResNet18_50%_CIFAR10_374935-46-51-03-17-11-2019,,ResNet18,32.0,CIFAR10,20.0,1.0,0.001,Sun Nov 17 03:51:46 2019,0.7878394568690096,,0.5,0.7892744566846006,1.0,0.0,2067.2144980430608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,ResNet18_50%_CIFAR10_658135-32-27-04-17-11-2019,,ResNet18,32.0,CIFAR10,20.0,0.0,0.001,Sun Nov 17 04:27:32 2019,0.9312100638977636,,0.5,0.9310530311994628,1.0,0.0,4506.285801172257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,ResNet18_9%_CIFAR10_585037-42-43-05-17-11-2019,,ResNet18,32.0,CIFAR10,30.0,1.0,0.001,Sun Nov 17 05:43:42 2019,0.7589856230031949,,0.9,0.7615073624704881,1.0,0.0,1278.6360266208646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,ResNet18_9%_CIFAR10_438640-06-06-06-17-11-2019,,ResNet18,32.0,CIFAR10,30.0,0.0,0.001,Sun Nov 17 06:06:06 2019,0.887779552715655,,0.9,0.8903119101148921,1.0,0.0,2010.7707688808441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,ResNet18_5%_CIFAR10_782060-38-40-06-17-11-2019,,ResNet18,32.0,CIFAR10,40.0,1.0,0.001,Sun Nov 17 06:40:39 2019,0.7301317891373802,,0.95,0.7338402330521608,1.0,0.0,1298.685046672821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,ResNet18_5%_CIFAR10_408837-18-03-07-17-11-2019,,ResNet18,32.0,CIFAR10,40.0,0.0,0.001,Sun Nov 17 07:03:18 2019,0.8514376996805112,,0.95,0.852530902936254,1.0,0.0,1791.3505704402924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,ResNet18_-4900%_CIFAR10_283250-10-34-07-17-11-2019,,ResNet18,32.0,CIFAR10,50.0,1.0,0.001,Sun Nov 17 07:34:10 2019,0.6308905750798722,,50.0,0.6262735630686908,1.0,0.0,1254.6706354618073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,ResNet18_-4900%_CIFAR10_565881-05-56-07-17-11-2019,,ResNet18,32.0,CIFAR10,50.0,0.0,0.001,Sun Nov 17 07:56:05 2019,0.7019768370607029,,50.0,0.7037718944221876,1.0,0.0,1375.7020025253296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,ResNet18_-900%_CIFAR10_589569-04-20-08-17-11-2019,,ResNet18,32.0,CIFAR10,60.0,1.0,0.001,Sun Nov 17 08:20:04 2019,0.3630191693290735,,10.0,0.3654537114514482,1.0,0.0,1356.0369193553925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,ResNet18_-900%_CIFAR10_966473-40-43-08-17-11-2019,,ResNet18,32.0,CIFAR10,60.0,0.0,0.001,Sun Nov 17 08:43:40 2019,0.4665535143769968,,10.0,0.4610853482592036,1.0,0.0,1389.5709500312805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,ResNet18_-400%_CIFAR10_063467-50-07-09-17-11-2019,,ResNet18,32.0,CIFAR10,70.0,1.0,0.001,Sun Nov 17 09:07:50 2019,0.2772563897763578,,5.0,0.27921143102253315,1.0,0.0,1499.1970074176788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,ResNet18_-400%_CIFAR10_069549-49-33-09-17-11-2019,,ResNet18,32.0,CIFAR10,70.0,0.0,0.001,Sun Nov 17 09:33:49 2019,0.3435503194888179,,5.0,0.3430050895639288,1.0,0.0,1514.740629196167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
